Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6626,The Chronicles of Riddick: Assault on Dark Athena,PS3,2009,Shooter,Vivendi Games,0.12,0.1,0,0.04,0.25
6639,Scrabble,DS,2009,Misc,Ubisoft,0.21,0.02,0,0.03,0.25
6654,Up,PS3,2009,Action,THQ,0.15,0.07,0,0.03,0.25
6670,SpongeBob's Truth or Square (US sales),X360,2009,Action,THQ,0.25,0,0,0,0.25
6711,Marvel: Ultimate Alliance 2,PSP,2009,Role-Playing,Activision,0.17,0.04,0,0.04,0.25
6713,Disgaea 2: Dark Hero Days,PSP,2009,Role-Playing,Nippon Ichi Software,0.1,0.01,0.12,0.02,0.25
6722,X-Men Origins: Wolverine,Wii,2009,Action,Activision,0.19,0.04,0,0.02,0.25
6729,Imagine: Zookeeper,DS,2009,Simulation,Ubisoft,0.16,0.06,0,0.02,0.25
6736,Littlest Pet Shop: Country Friends,DS,2009,Simulation,Electronic Arts,0.23,0,0,0.02,0.25
6743,Dreamworks Madagascar Kartz,X360,2009,Racing,Activision,0.14,0.09,0,0.02,0.25
6748,Monster Hunter G,Wii,2009,Role-Playing,Capcom,0,0,0.25,0,0.25
6749,Fuel,PS3,2009,Racing,Codemasters,0.08,0.12,0,0.05,0.25
6758,Disney's A Christmas Carol,DS,2009,Adventure,Disney Interactive Studios,0.22,0.01,0,0.02,0.25
6787,Broken Sword: Shadow of the Templars - The Director's Cut,Wii,2009,Adventure,Ubisoft,0.12,0.1,0,0.02,0.24
6797,Disney Stitch Jam,DS,2009,Misc,Disney Interactive Studios,0.08,0,0.16,0,0.24
6798,Bakugan: Battle Brawlers,X360,2009,Action,Activision,0.2,0.02,0,0.02,0.24
6803,Cabela's Outdoor Adventures (2009),X360,2009,Sports,Activision Value,0.23,0,0,0.02,0.24
6811,Imagine: Teacher Class Trip,DS,2009,Adventure,Ubisoft,0.1,0.12,0,0.02,0.24
6859,The Price is Right 2010 Edition,Wii,2009,Misc,Ubisoft,0.22,0,0,0.02,0.24
6863,NBA Live 10,PSP,2009,Sports,Electronic Arts,0.21,0,0.01,0.02,0.24
6866,MX vs. ATV Reflex,PSP,2009,Racing,THQ,0.18,0.03,0,0.03,0.24
6867,Bakugan: Battle Brawlers,PS3,2009,Action,Activision,0.19,0.03,0,0.02,0.24
6877,Mobile Suit Gundam Battlefield Record U.C.0081,PS3,2009,Action,Namco Bandai Games,0,0,0.24,0,0.24
6882,Ashes Cricket 2009,Wii,2009,Sports,Codemasters,0,0.23,0,0.01,0.24
6886,Are You Smarter than a 5th Grader? Game Time,DS,2009,Puzzle,THQ,0.22,0,0,0.02,0.24
6897,Divinity II: Ego Draconis,X360,2009,Role-Playing,DTP Entertainment,0.18,0.04,0,0.02,0.24
6905,Lunar: Silver Star Harmony,PSP,2009,Role-Playing,GungHo,0.19,0,0.03,0.02,0.24
6910,Scrabble (Others sales),DS,2009,Puzzle,Ubisoft,0,0.24,0,0,0.24
6913,Dynasty Warriors 6 Empires,X360,2009,Action,Tecmo Koei,0.16,0.02,0.04,0.02,0.24
6917,Tiger Woods PGA Tour 10,PSP,2009,Sports,Electronic Arts,0.12,0.07,0,0.05,0.24
6926,Fallout 3 Game Add-On Pack: Broken Steel and Point Lookout,X360,2009,Role-Playing,Bethesda Softworks,0.16,0.06,0,0.02,0.24
6932,Nintendo Presents: Crossword Collection,DS,2009,Puzzle,Nintendo,0,0.21,0,0.02,0.24
6934,G.I. Joe: The Rise of Cobra,X360,2009,Action,Electronic Arts,0.17,0.05,0,0.02,0.24
6944,Afro Samurai,X360,2009,Action,Atari,0.16,0.05,0,0.02,0.24
6967,Big Family Games,Wii,2009,Misc,THQ,0,0.22,0,0.02,0.23
6993,SingStar Pop Edition,PS3,2009,Misc,Sony Computer Entertainment,0,0.19,0,0.05,0.23
7002,Rock Band Track Pack: Classic Rock,Wii,2009,Misc,MTV Games,0.22,0,0,0.02,0.23
7013,Rock Band Country Track Pack,X360,2009,Misc,MTV Games,0.22,0,0,0.02,0.23
7017,Imagine: Detective,DS,2009,Simulation,Ubisoft,0.16,0.01,0,0.06,0.23
7019,Hannah Montana: The Movie,PS3,2009,Adventure,Disney Interactive Studios,0.14,0.06,0,0.03,0.23
7041,Dynasty Warriors: Strikeforce,X360,2009,Action,Tecmo Koei,0.13,0.06,0.02,0.02,0.23
7055,Deadly Creatures,Wii,2009,Action,THQ,0.08,0.12,0,0.03,0.23
7057,Cabela's Outdoor Adventures (2009),PS3,2009,Sports,Activision Value,0.21,0,0,0.02,0.23
7069,Musou Orochi Z,PS3,2009,Action,Tecmo Koei,0,0,0.23,0,0.23
7076,The Idolm@ster SP: Wandering Star / Perfect Sun / Missing Moon,PSP,2009,Adventure,Namco Bandai Games,0,0,0.23,0,0.23
7080,Tales of VS.,PSP,2009,Fighting,Namco Bandai Games,0,0,0.23,0,0.23
7085,Barbie and the Three Musketeers,Wii,2009,Adventure,Activision,0.21,0,0,0.02,0.23
7102,MySims Party,Wii,2009,Simulation,Electronic Arts,0.18,0.03,0,0.02,0.23
7115,101-in-1 Party Megamix Wii,Wii,2009,Misc,Nordcurrent,0.19,0.01,0,0.02,0.23
7153,Ys Seven,PSP,2009,Role-Playing,Falcom Corporation,0.14,0,0.08,0.01,0.22
7156,G-Force,PS3,2009,Action,Disney Interactive Studios,0.13,0.06,0,0.03,0.22
7168,Cloudy With a Chance of Meatballs,DS,2009,Platform,Ubisoft,0.2,0.01,0,0.02,0.22
7181,A Boy and His Blob,Wii,2009,Platform,Majesco Entertainment,0.19,0.02,0,0.02,0.22
7217,Imagine: Boutique Owner,DS,2009,Simulation,Ubisoft,0.2,0,0,0.02,0.22
7220,Cursed Mountain,Wii,2009,Adventure,Deep Silver,0.09,0.1,0,0.02,0.22
7230,Tales of Graces,Wii,2009,Role-Playing,Namco Bandai Games,0,0,0.22,0,0.22
7233,Where's Waldo? The Fantastic Journey,DS,2009,Adventure,Ubisoft,0.2,0,0,0.02,0.22
7234,ATV Quad Kings,Wii,2009,Racing,Zoo Digital Publishing,0.21,0,0,0.01,0.22
7240,Tropico 3,X360,2009,Strategy,Kalypso Media,0.15,0.02,0.03,0.02,0.22
7242,Ben 10 Alien Force: Vilgax Attacks,X360,2009,Action,D3Publisher,0.11,0.09,0,0.02,0.22
7244,G.I. Joe: The Rise of Cobra,Wii,2009,Action,Electronic Arts,0.17,0.03,0,0.02,0.22
7254,Infinite Space,DS,2009,Role-Playing,Sega,0.07,0.06,0.07,0.01,0.22
7261,Pinball Hall of Fame: The Williams Collection,PS3,2009,Misc,Crave Entertainment,0.2,0,0,0.02,0.22
7262,Guitar Hero: Smash Hits,PS2,2009,Misc,Activision,0.11,0.01,0,0.1,0.22
7269,Hasbro Family Game Night,DS,2009,Puzzle,Electronic Arts,0.01,0.19,0,0.02,0.22
7276,Shin Megami Tensei: Persona,PSP,2009,Role-Playing,Atlus,0.08,0,0.13,0.01,0.22
7327,Teenage Mutant Ninja Turtles: Smash-Up,PS2,2009,Fighting,Ubisoft,0.11,0.08,0,0.03,0.21
7359,The BIGS 2,X360,2009,Sports,Take-Two Interactive,0.19,0.01,0,0.02,0.21
7361,Hannah Montana: The Movie,X360,2009,Adventure,Disney Interactive Studios,0.14,0.06,0,0.02,0.21
7362,50 Cent: Blood on the Sand,X360,2009,Shooter,THQ,0.12,0.07,0,0.02,0.21
7378,G.I. Joe: The Rise of Cobra,PS3,2009,Action,Electronic Arts,0.11,0.07,0,0.03,0.21
7388,Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,Wii,2009,Adventure,GSP,0.12,0.07,0,0.02,0.21
7390,Marvel Super Hero Squad,PSP,2009,Fighting,THQ,0.17,0.02,0,0.02,0.21
7394,Yoga Wii,Wii,2009,Sports,JoWood Productions,0.15,0.05,0,0.02,0.21
7398,Bass Pro Shops: The Strike,X360,2009,Sports,XS Games,0.2,0,0,0.02,0.21
7403,Wedding Dash,DS,2009,Action,Zoo Games,0.2,0,0,0.01,0.21
7431,Way of the Samurai 3,X360,2009,Action,Gamebridge,0.12,0.05,0.02,0.02,0.21
7447,StokEd,X360,2009,Sports,Zushi Games,0.18,0.01,0,0.01,0.21
7452,Super Robot Taisen K,DS,2009,Strategy,Namco Bandai Games,0,0,0.21,0,0.21
7478,NCAA Football 10,PSP,2009,Sports,Electronic Arts,0.19,0,0,0.02,0.21
7480,Dawn of Discovery,Wii,2009,Simulation,Ubisoft,0.13,0.06,0,0.02,0.21
7485,CSI: Deadly Intent,X360,2009,Adventure,Ubisoft,0.1,0.08,0,0.02,0.21
7501,Discovery Kids: Pony Paradise,DS,2009,Simulation,505 Games,0.19,0,0,0.01,0.2
7510,Chronicles of Mystery: Curse of the Ancient Temple,DS,2009,Adventure,City Interactive,0.07,0.11,0,0.02,0.2
7517,Planet 51,Wii,2009,Action,Sega,0.17,0.02,0,0.02,0.2
7518,Sloane to MacHale no Nazo no Monogatari,DS,2009,Puzzle,Level 5,0,0,0.2,0,0.2
7520,My Fitness Coach 2: Exercise and Nutrition,Wii,2009,Sports,Black Bean Games,0.14,0.04,0,0.02,0.2
7541,The Ultimate Red Ball Challenge,Wii,2009,Misc,Mindscape,0,0.19,0,0.01,0.2
7551,Ashes Cricket 2009,X360,2009,Sports,Codemasters,0,0.19,0,0.01,0.2
7557,Dragon Ball: Revenge of King Piccolo,Wii,2009,Action,Namco Bandai Games,0.13,0.03,0.03,0.02,0.2
7558,Spectrobes: Origins,Wii,2009,Role-Playing,Disney Interactive Studios,0.16,0.02,0,0.02,0.2
7561,Marvel: Ultimate Alliance 2,DS,2009,Role-Playing,Activision,0.16,0.03,0,0.02,0.2
7569,Neighborhood Games,Wii,2009,Misc,THQ,0.17,0.02,0,0.01,0.2
7586,Imagine: Babyz Fashion,DS,2009,Simulation,Ubisoft,0.19,0,0,0.01,0.2
7594,"Ni Hao, Kai-lan: New Year's Celebration",DS,2009,Misc,Take-Two Interactive,0.19,0,0,0.01,0.2
7595,Press Your Luck 2010 Edition,DS,2009,Misc,Ubisoft,0.19,0,0,0.01,0.2
7596,Treasure World,DS,2009,Simulation,Aspyr,0.19,0,0,0.01,0.2
7601,Afro Samurai,PS3,2009,Action,Atari,0.12,0.05,0,0.03,0.2
7602,Rock Band Track Pack: Classic Rock,PS2,2009,Misc,MTV Games,0.1,0.08,0,0.03,0.2
7644,The BIGS 2,PS2,2009,Sports,Take-Two Interactive,0.1,0.08,0,0.03,0.2
7652,We Wish You A Merry Christmas,Wii,2009,Action,Destineer,0.14,0.04,0,0.02,0.2
7672,Spore Hero Arena,DS,2009,Simulation,Electronic Arts,0.18,0,0,0.01,0.2
7693,Go Play: Lumberjacks,Wii,2009,Simulation,Majesco Entertainment,0.18,0,0,0.01,0.2
7713,X-Men Origins: Wolverine,DS,2009,Action,Activision,0.15,0.03,0,0.02,0.2
7725,Beyblade: Metal Fusion - Battle Fortress,Wii,2009,Action,Konami Digital Entertainment,0.15,0,0.03,0.01,0.2
7728,Shutter Island,PC,2009,Adventure,Merscom LLC,0,0.17,0,0.03,0.2
7752,Ice Age: Dawn of the Dinosaurs,PS3,2009,Action,Activision,0.13,0.04,0,0.02,0.19
7754,Arc Rise Fantasia,Wii,2009,Role-Playing,Marvelous Interactive,0.13,0,0.06,0.01,0.19
7755,"Ni Hao, Kai-lan: Super Game Day",Wii,2009,Misc,Take-Two Interactive,0.18,0,0,0.01,0.19
7758,Petz Pony: Beauty Pageant,DS,2009,Simulation,Ubisoft,0.18,0,0,0.01,0.19
7768,Power Pro Kun Pocket 12,DS,2009,Sports,Konami Digital Entertainment,0,0,0.19,0,0.19
7778,Dream Salon,DS,2009,Misc,Zoo Digital Publishing,0.18,0,0,0.01,0.19
7782,Space Invaders Extreme 2,DS,2009,Shooter,Square Enix,0.17,0.01,0,0.01,0.19
7783,X-Men Origins: Wolverine,PSP,2009,Action,Activision,0.13,0.03,0,0.03,0.19
7787,Risen,X360,2009,Role-Playing,Deep Silver,0.07,0.11,0,0.01,0.19
7795,Rock Band Country Track Pack,PS3,2009,Misc,MTV Games,0.18,0,0,0.01,0.19
7802,50 Cent: Blood on the Sand,PS3,2009,Shooter,THQ,0.1,0.06,0.01,0.03,0.19
7809,Might & Magic: Clash of Heroes,DS,2009,Role-Playing,Ubisoft,0.16,0.02,0,0.01,0.19
7815,Chaotic: Shadow Warriors,Wii,2009,Action,Activision,0.18,0,0,0.01,0.19
7833,IL-2 Sturmovik: Birds of Prey,PSP,2009,Simulation,505 Games,0.08,0.07,0,0.04,0.19
7846,Cars: Race-O-Rama,PS3,2009,Racing,THQ,0.14,0.03,0,0.02,0.19
7854,Monster 4x4: Stunt Racer,Wii,2009,Racing,Ubisoft,0.18,0,0,0.01,0.19
7859,"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu",PSP,2009,Adventure,Sony Computer Entertainment,0,0,0.19,0,0.19
7869,Squeeballs Party,Wii,2009,Puzzle,Performance Designed Products,0.18,0,0,0.01,0.19
7871,Where's Waldo? The Fantastic Journey,Wii,2009,Adventure,Ubisoft,0.18,0,0,0.01,0.19
7903,Active Health with Carol Vorderman,DS,2009,Sports,Nintendo,0,0.18,0,0.01,0.19
7920,Monsters vs. Aliens,PS2,2009,Action,Activision,0.11,0,0,0.08,0.19
7936,The Munchables,Wii,2009,Action,Namco Bandai Games,0.17,0,0,0.01,0.19
7957,Penguin no Mondai X: Tenkuu no 7 Senshi,DS,2009,Action,Konami Digital Entertainment,0,0,0.19,0,0.19
7967,MotoGP,Wii,2009,Racing,Capcom,0.05,0.11,0,0.02,0.19
7974,Jurassic: The Hunted,PS3,2009,Shooter,Activision,0.17,0,0,0.02,0.19
7981,Hot Wheels: Battle Force 5,Wii,2009,Racing,Activision,0.17,0,0,0.01,0.19
8003,Dance Dance Revolution: Disney Grooves,Wii,2009,Simulation,Konami Digital Entertainment,0.17,0,0,0.01,0.18
8015,Half-Minute Hero,PSP,2009,Role-Playing,Rising Star Games,0.08,0.02,0.07,0.02,0.18
8018,Ringling Bros. and Barnum & Bailey Circus,Wii,2009,Action,Take-Two Interactive,0.17,0,0,0.01,0.18
8026,Naruto Shippuden: Dragon Blade Chronicles,Wii,2009,Action,505 Games,0.11,0.02,0.05,0.01,0.18
8035,Borderlands,PC,2009,Shooter,Take-Two Interactive,0.01,0.14,0,0.04,0.18
8037,Chaotic: Shadow Warriors,DS,2009,Action,Activision,0.17,0,0,0.01,0.18
8038,Ghostbusters: The Video Game,PSP,2009,Action,Atari,0.16,0.01,0,0.02,0.18
8042,Company of Heroes: Anthology,PC,2009,Strategy,THQ,0,0.15,0,0.04,0.18
8062,X-Men Origins: Wolverine,PS2,2009,Action,Activision,0.13,0,0,0.05,0.18
8073,Trinity Universe,PS3,2009,Role-Playing,Nippon Ichi Software,0.07,0.06,0.03,0.02,0.18
8124,SingStar Motown,PS3,2009,Misc,Sony Computer Entertainment,0,0.16,0,0.02,0.18
8146,Race Pro,X360,2009,Racing,Atari,0.06,0.09,0,0.02,0.18
8155,Velvet Assassin,X360,2009,Shooter,DTP Entertainment,0.14,0.02,0.01,0.01,0.18
8163,Tomb Raider: Underworld,PS2,2009,Action,Eidos Interactive,0.09,0.04,0,0.05,0.18
8168,Kidou Senshi Gundam: Senjou no Kizuna Portable,PSP,2009,Strategy,Namco Bandai Games,0,0,0.18,0,0.18
8211,Ashes Cricket 2009,PS3,2009,Sports,Codemasters,0,0.16,0,0.02,0.17
8213,Petz: Horseshoe Ranch,DS,2009,Adventure,Ubisoft,0.16,0,0,0.01,0.17
8215,Stormrise,PS3,2009,Strategy,Sega,0.13,0.02,0,0.02,0.17
8220,Broken Sword: Shadows of the Templars - The Director's Cut,DS,2009,Adventure,Ubisoft,0.07,0.09,0,0.02,0.17
8228,Fairytale Fights,PS3,2009,Action,Playlogic Game Factory,0.11,0.04,0,0.02,0.17
8243,Major League Baseball 2K9,PS3,2009,Sports,Spike,0.16,0,0,0.01,0.17
8244,SaGa 2: Hihou Densetsu - Goddess of Destiny,DS,2009,Role-Playing,Square Enix,0,0,0.17,0,0.17
8259,Squeeballs Party,DS,2009,Puzzle,Performance Designed Products,0.16,0,0,0.01,0.17
8270,Ice Age: Dawn of the Dinosaurs,PS2,2009,Action,Activision,0.08,0.07,0,0.02,0.17
8274,Watchmen: The End is Nigh - The Complete Experience,PS3,2009,Action,Warner Bros. Interactive Entertainment,0.08,0.07,0,0.02,0.17
8292,Ringling Bros. and Barnum & Bailey: Circus Friends,DS,2009,Action,Take-Two Interactive,0.16,0,0,0.01,0.17
8296,Age of Empires III: Complete Collection,PC,2009,Strategy,Microsoft Game Studios,0.01,0.12,0,0.03,0.17
8298,Backyard Baseball '10,PS2,2009,Sports,Atari,0.08,0.07,0,0.02,0.17
8311,Macross Ultimate Frontier,PSP,2009,Action,Namco Bandai Games,0,0,0.17,0,0.17
8323,Backyard NFL Football '10,Wii,2009,Sports,Atari,0.16,0,0,0.01,0.17
8326,Buzz! Brain of the UK,PS3,2009,Misc,Sony Computer Entertainment,0,0.15,0,0.02,0.17
8335,Fairytale Fights,X360,2009,Action,Playlogic Game Factory,0.14,0.02,0,0.01,0.17
8347,Major League Baseball 2K9,PS2,2009,Sports,Spike,0.08,0.06,0,0.02,0.17
8364,Marble Saga: Kororinpa,Wii,2009,Puzzle,Konami Digital Entertainment,0.1,0.06,0,0.02,0.17
8367,Monsters vs. Aliens,X360,2009,Action,Activision,0.12,0.03,0,0.01,0.17
8382,G-Force,X360,2009,Action,Disney Interactive Studios,0.11,0.05,0,0.01,0.17
8404,I'm A Celebrity: Get Me Out of Here!,Wii,2009,Misc,Mindscape,0,0.16,0,0.01,0.17
8420,Blood Bowl,X360,2009,Sports,Focus Home Interactive,0.13,0.03,0,0.01,0.17
8427,Easy Piano,DS,2009,Misc,Game Life,0.04,0.11,0,0.02,0.17
8476,Chaotic: Shadow Warriors,PS3,2009,Action,Activision,0.15,0,0,0.01,0.16
8477,Leisure Suit Larry: Box Office Bust,X360,2009,Adventure,Codemasters,0.14,0.01,0,0.01,0.16
8492,Pen 1 Grand Prix: Penguin no Mondai Special,DS,2009,Fighting,Konami Digital Entertainment,0,0,0.16,0,0.16
8504,Medieval Games,Wii,2009,Action,Vir2L Studios,0.14,0.01,0,0.01,0.16
8517,Hannah Montana: Rock Out the Show,PSP,2009,Misc,Disney Interactive Studios,0.13,0.01,0,0.02,0.16
8526,Heroes over Europe,PS3,2009,Simulation,Ubisoft,0.12,0.02,0,0.02,0.16
8535,Ready 2 Rumble Revolution,Wii,2009,Sports,Atari,0.15,0,0,0.01,0.16
8542,Puzzle Quest: Galactrix,DS,2009,Puzzle,D3Publisher,0.15,0,0,0.01,0.16
8571,Little League World Series Baseball 2009,Wii,2009,Sports,Activision,0.15,0,0,0.01,0.16
8572,The King of Fighters XII,PS3,2009,Fighting,Ignition Entertainment,0.11,0.01,0.03,0.01,0.16
8576,Our House,DS,2009,Strategy,Majesco Entertainment,0.15,0,0,0.01,0.16
8596,Take A Break's: Puzzle Master,DS,2009,Puzzle,Ubisoft,0,0.15,0,0.01,0.16
8603,Sherlock Holmes vs. Jack the Ripper,X360,2009,Adventure,Focus Home Interactive,0.11,0.04,0,0.01,0.16
8615,SpongeBob's Truth or Square,DS,2009,Action,THQ,0.08,0.07,0,0.01,0.16
8624,Family Party: 30 Great Games Outdoor Fun,Wii,2009,Misc,D3Publisher,0.14,0.01,0,0.01,0.16
8647,Just Sing!,DS,2009,Misc,DTP Entertainment,0.14,0.01,0,0.01,0.16
8652,J-League Pro Soccer Club o Tsukurou! 6: Pride of J,PSP,2009,Sports,Sega,0,0,0.16,0,0.16
8661,"BCFX: The Black College Football Xperience, The Doug Williams Edition",X360,2009,Sports,Aspyr,0.15,0,0,0.01,0.16
8676,Arcade Zone,Wii,2009,Misc,Activision,0.14,0,0,0.01,0.16
8703,Space Camp,DS,2009,Action,Activision,0.14,0,0,0.01,0.16
8704,Imagine: Music Fest,DS,2009,Simulation,Ubisoft,0.15,0,0,0.01,0.16
8730,Hot Wheels: Battle Force 5,DS,2009,Racing,Activision,0.13,0.02,0,0.01,0.15
8736,Chaotic: Shadow Warriors,X360,2009,Action,Activision,0.14,0,0,0.01,0.15
8744,Stormrise,X360,2009,Strategy,Sega,0.11,0.03,0,0.01,0.15
8745,NHL 2K10,PS3,2009,Sports,Take-Two Interactive,0.13,0.01,0,0.01,0.15
8754,Jewel Quest Solitaire,DS,2009,Puzzle,GSP,0,0.14,0,0.02,0.15
8757,Cars: Race-O-Rama,X360,2009,Racing,THQ,0.14,0.01,0,0.01,0.15
8768,Farm Frenzy: Animal Country,DS,2009,Simulation,City Interactive,0.13,0.01,0,0.01,0.15
8773,Naruto Shippuden: Legends: Akatsuki Rising,PSP,2009,Fighting,Namco Bandai Games,0.14,0,0,0.01,0.15
8782,Jurassic: The Hunted,Wii,2009,Shooter,Activision,0.14,0,0,0.01,0.15
8787,Jikkyou Powerful Pro Yakyuu 2009,PS2,2009,Sports,Konami Digital Entertainment,0,0,0.15,0,0.15
8789,Bigfoot: Collision Course,DS,2009,Racing,Zoo Digital Publishing,0.14,0,0,0.01,0.15
8796,The Secret Saturdays: Beasts of the 5th Sun,PS2,2009,Action,D3Publisher,0.05,0.02,0,0.08,0.15
8797,Countdown: The Game,DS,2009,Puzzle,Mindscape,0,0.14,0,0.01,0.15
8869,Burger Island,Wii,2009,Action,Destineer,0.14,0,0,0.01,0.15
8870,Petz: Dogz Talent Show,DS,2009,Simulation,Ubisoft,0.14,0,0,0.01,0.15
8883,Pro Yaky? Spirits 6,PS3,2009,Sports,Konami Digital Entertainment,0,0,0.15,0,0.15
8888,Rock Band: Metal Track Pack,X360,2009,Misc,MTV Games,0.14,0,0,0.01,0.15
8903,Charm Girls Club: Pajama Party,Wii,2009,Misc,Electronic Arts,0.14,0,0,0.01,0.15
8925,Baseball Blast!,Wii,2009,Sports,Take-Two Interactive,0.14,0,0,0.01,0.15
8928,Harvest Moon: Hero of Leaf Valley,PSP,2009,Simulation,Rising Star Games,0.07,0.02,0.05,0.02,0.15
8936,NHL 2K10,X360,2009,Sports,Take-Two Interactive,0.11,0.02,0,0.01,0.15
8951,Tamagotchi no Narikiri Channel,DS,2009,Role-Playing,Namco Bandai Games,0,0,0.15,0,0.15
8980,SafeCracker: The Ultimate Puzzle Adventure,DS,2009,Puzzle,The Adventure Company,0.07,0.06,0,0.01,0.15
9007,Where the Wild Things Are,DS,2009,Platform,Warner Bros. Interactive Entertainment,0.13,0,0,0.01,0.14
9013,Jurassic: The Hunted,PS2,2009,Shooter,Activision,0.07,0.06,0,0.02,0.14
9022,Diner Dash: Flo on the Go,DS,2009,Puzzle,Zoo Games,0.13,0,0,0.01,0.14
9024,Okaeri! Chibi-Robo! Happy Richie Oosouji,DS,2009,Adventure,Nintendo,0,0,0.14,0,0.14
9028,G.I. Joe: The Rise of Cobra,PS2,2009,Action,Electronic Arts,0.11,0,0,0.03,0.14
9036,G.I. Joe: The Rise of Cobra,PSP,2009,Action,Electronic Arts,0.11,0.02,0,0.02,0.14
9038,Balloon Pop,DS,2009,Puzzle,UFO Interactive,0.13,0,0,0.01,0.14
9048,ArmA II,PC,2009,Shooter,505 Games,0,0.12,0,0.03,0.14
9075,Cake Mania 3,DS,2009,Simulation,Majesco Entertainment,0.13,0,0,0.01,0.14
9092,Hexyz Force,PSP,2009,Role-Playing,Atlus,0.07,0,0.06,0.01,0.14
9103,PANGYA: Fantasy Golf,PSP,2009,Sports,Takara Tomy,0.09,0,0.04,0.01,0.14
9110,Risen,PC,2009,Role-Playing,Deep Silver,0,0.11,0,0.03,0.14
9118,MX vs. ATV Reflex,DS,2009,Racing,THQ,0.13,0,0,0.01,0.14
9123,Cabela's Outdoor Adventures (2009),PS2,2009,Sports,Activision Value,0.07,0.05,0,0.02,0.14
9141,X-Blades,X360,2009,Action,SouthPeak Games,0.1,0.02,0.02,0.01,0.14
9151,Scene It? Bright Lights! Big Screen!,Wii,2009,Misc,Warner Bros. Interactive Entertainment,0.13,0,0,0.01,0.14
9167,Buck Fever,Wii,2009,Sports,Destineer,0.13,0,0,0.01,0.14
9170,Heroes over Europe,X360,2009,Simulation,Ubisoft,0.1,0.03,0,0.01,0.14
9184,Valhalla Knights: Eldar Saga,Wii,2009,Role-Playing,Rising Star Games,0.1,0.01,0.01,0.01,0.14
9229,Science Papa,Wii,2009,Misc,Activision,0.12,0.01,0,0.01,0.14
9239,X-Blades,PS3,2009,Action,SouthPeak Games,0.07,0.03,0.02,0.02,0.14
9249,Littlest Pet Shop: Spring,DS,2009,Simulation,Electronic Arts,0.12,0,0,0.01,0.14
9265,Rogue Warrior,PS3,2009,Shooter,Bethesda Softworks,0.11,0.02,0,0.01,0.14
9272,G.I. Joe: The Rise of Cobra,DS,2009,Action,Electronic Arts,0.11,0.01,0,0.01,0.14
9278,7th Dragon,DS,2009,Role-Playing,Sega,0,0,0.14,0,0.14
9281,Cruise Ship Vacation Games,Wii,2009,Puzzle,Avanquest,0.13,0,0,0.01,0.14
9284,Learn Math,DS,2009,Puzzle,DreamCatcher Interactive,0.13,0,0,0.01,0.14
9292,Scene It? Bright Lights! Big Screen!,X360,2009,Misc,Warner Bros. Interactive Entertainment,0.12,0,0,0.01,0.14
9324,Little League World Series Baseball 2009,DS,2009,Sports,Activision,0.13,0,0,0.01,0.14
9331,Fashion Studio: Paris Collection,DS,2009,Misc,Ubisoft,0.13,0,0,0.01,0.13
9347,Go Play: Circus Star,Wii,2009,Action,Majesco Entertainment,0.12,0,0,0.01,0.13
9359,Pro Yaky? Spirits 6,PS2,2009,Sports,Konami Digital Entertainment,0,0,0.13,0,0.13
9361,Puzzle Kingdoms,DS,2009,Puzzle,Zoo Digital Publishing,0.12,0,0,0.01,0.13
9380,Space Camp,Wii,2009,Action,Activision,0.12,0,0,0.01,0.13
9383,Phantom Brave: We Meet Again,Wii,2009,Role-Playing,Nippon Ichi Software,0.12,0,0.01,0.01,0.13
9411,Scene It? Bright Lights! Big Screen!,PS3,2009,Misc,Warner Bros. Interactive Entertainment,0.1,0.01,0,0.01,0.13
9412,My Baby: First Steps,Wii,2009,Simulation,SouthPeak Games,0.12,0,0,0.01,0.13
9427,All Star Cheer Squad 2,Wii,2009,Sports,THQ,0.12,0,0,0.01,0.13
9439,Eat Lead: The Return of Matt Hazard,PS3,2009,Shooter,D3Publisher,0.09,0.02,0,0.01,0.13
9442,Family Fortunes,Wii,2009,Misc,Mindscape,0,0.12,0,0.01,0.13
9446,The BIGS 2,PS3,2009,Sports,Take-Two Interactive,0.12,0,0,0.01,0.13
9448,Amagami,PS2,2009,Adventure,Enterbrain,0,0,0.13,0,0.13
9465,Academy of Champions: Soccer,Wii,2009,Sports,Ubisoft,0.1,0.02,0,0.01,0.13
9489,Shimano Xtreme Fishing,Wii,2009,Sports,Mastiff,0.12,0,0,0.01,0.13
9493,Barbie and the Three Musketeers,DS,2009,Adventure,Activision,0.12,0,0,0.01,0.13
9527,The Price is Right 2010 Edition,DS,2009,Misc,Ubisoft,0.12,0,0,0.01,0.13
9602,Ice Age: Dawn of the Dinosaurs,X360,2009,Action,Activision,0.09,0.03,0,0.01,0.13
9604,SimAnimals Africa,Wii,2009,Simulation,Electronic Arts,0.1,0.01,0,0.01,0.13
9622,Cloudy With a Chance of Meatballs,Wii,2009,Platform,Ubisoft,0.11,0,0,0.01,0.13
9626,Teenage Mutant Ninja Turtles: Arcade Attack,DS,2009,Action,Ubisoft,0.12,0,0,0.01,0.13
9638,The Stronghold Collection,PC,2009,Strategy,Take-Two Interactive,0.03,0.08,0,0.02,0.13
